origin,airport_name,state,region,delayed_time,pct_greater,total_flights
ABE,Lehigh Valley International,Pennsylvania,Northeast,54.495347172512524,0.2462419470293486,5014
ABI,Abilene Regional,Texas,South,46.328424153166424,0.19440353460972018,2272
ABQ,Albuquerque International Sunport,New Mexico,West,34.56769596199525,0.14323040380047505,23731
ABR,Aberdeen Regional,South Dakota,Midwest,80.92432432432433,0.2972972972972973,750
ABY,Southwest Georgia Regional,Georgia,South,56.5110294117647,0.24632352941176472,1005
ACK,Nantucket Memorial,Massachusetts,Northeast,88.90092165898618,0.38940092165898615,1195
ACT,Waco Regional,Texas,South,42.57562076749436,0.19413092550790068,1800
ACV,California Redwood Coast Humboldt County,California,West,91.72621035058431,0.4323873121869783,2013
ACY,Atlantic City International,New Jersey,Northeast,48.66044142614601,0.23429541595925296,3114
ADK,Adak,Alaska,West,35.35087719298246,0.15789473684210525,104
ADQ,Kodiak Airport,Alaska,West,23.362573099415204,0.10526315789473684,641
AEX,Alexandria International,Louisiana,South,55.068212824010914,0.25375170532060026,3271
AGS,Augusta Regional at Bush Field,Georgia,South,49.45813478556841,0.23961878829135466,4768
AKN,King Salmon Airport,Alaska,West,11.916666666666666,0.08333333333333333,61
ALB,Albany International,New York,Northeast,48.2267283614589,0.21393576483396842,12568
ALO,Waterloo Regional,Iowa,Midwest,67.04294478527608,0.294478527607362,700
AMA,Rick Husband Amarillo International,Texas,South,55.050333086602514,0.2716506291635825,5210
ANC,Ted Stevens Anchorage International,Alaska,West,29.61210487625582,0.1195785346728743,18988
APN,Alpena County Regional,Michigan,Midwest,82.26011560693641,0.30057803468208094,625
ART,Watertown International,New York,Northeast,41.808510638297875,0.1595744680851064,245
ASE,Aspen Pitkin County Sardy Field,Colorado,West,84.08047619047619,0.39666666666666667,6589
ATL,Hartsfield-Jackson Atlanta International,Georgia,South,32.38057006124998,0.14048367921262925,393032
ATW,Appleton International,Wisconsin,Midwest,53.98612244897959,0.25551020408163266,4335
ATY,Watertown Regional,South Dakota,Midwest,113.4,0.4380952380952381,523
AUS,Austin - Bergstrom International,Texas,South,38.11266939126694,0.16317487631748764,66811
AVL,Asheville Regional,North Carolina,South,57.047762316660396,0.2617525385483264,9549
AVP,Wilkes Barre Scranton International,Pennsylvania,Northeast,57.829121540312876,0.24428399518652227,3580
AZA,Phoenix - Mesa Gateway,Arizona,West,39.68204868154158,0.1678498985801217,5714
AZO,Kalamazoo/Battle Creek International,Michigan,Midwest,58.074747474747475,0.2727272727272727,2240
BDL,Bradley International,Connecticut,Northeast,42.633704213026625,0.19114889361170145,28041
BET,Bethel Airport,Alaska,West,26.197718631178706,0.09885931558935361,827
BFF,Western Neb. Regional/William B. Heilig Field,Nebraska,Midwest,102.72631578947369,0.43157894736842106,625
BFL,Meadows Field,California,West,66.02801724137932,0.3017241379310345,2469
BFM,Mobile Downtown,Alabama,South,50.951219512195124,0.2682926829268293,158
BGM,Greater Binghamton/Edwin A. Link Field,New York,Northeast,91.06635071090048,0.36018957345971564,958
BGR,Bangor International,Maine,Northeast,55.946938775510205,0.27183673469387754,3773
BHM,Birmingham-Shuttlesworth International,Alabama,South,46.69028062970568,0.23305954825462014,19475
BIL,Billings Logan International,Montana,West,57.76847290640394,0.291871921182266,4067
BIS,Bismarck Municipal,North Dakota,Midwest,62.041666666666664,0.2916666666666667,4254
BJI,Bemidji Regional,Minnesota,Midwest,87.78125,0.3125,742
BKG,Branson Airport,Missouri,Midwest,56.51428571428571,0.34285714285714286,231
BLI,Bellingham International,Washington,West,34.32721712538226,0.14984709480122324,1838
